0,1604;-0,0369;1,0712;1,0838;0,1125
-0,0564;0,0771;1,1508;1,1547;0,1366
0,1643;0,1508;1,0522;1,0755;0,3864
0,1743;0,0081;0,7998;0,8186;0,3884
0,2155;-0,0271;0,8716;0,8982;0,3903
0,2223;-0,0083;0,9565;0,9820;0,3923
0,1967;-0,1047;1,1400;1,1616;0,4329
0,1711;-0,0586;0,9865;1,0029;0,4604
0,2057;-0,0398;0,9882;1,0102;0,5180
0,1994;-0,0388;0,9885;1,0091;0,5777
0,2077;-0,0344;0,9863;1,0085;0,6380
0,2150;-0,0342;0,9875;1,0112;0,7005
0,1892;-0,0281;0,9785;0,9970;0,7588
0,1857;-0,0271;0,9963;1,0138;0,8191
0,2043;-0,0215;0,9863;1,0074;0,8788
0,2204;-0,0237;0,9963;1,0206;0,9382
0,2048;-0,0178;0,9863;1,0075;1,0000
0,2062;-0,0115;0,9843;1,0058;1,0596
0,1950;-0,0317;1,0980;1,1157;1,1212
-0,0073;-0,0410;1,4634;1,4640;1,1830
-1,2220;0,1018;-0,0483;1,2272;1,2422
-0,3968;0,0644;-0,3810;0,5539;1,2994
-0,0801;0,0146;0,8991;0,9028;1,3593
-0,0354;-0,0054;0,9968;0,9974;1,4218
0,2255;0,0749;0,4300;0,4913;1,4793
0,0842;-0,0737;1,0314;1,0375;1,5413
0,0740;-0,1630;2,8189;2,8246;1,6041
0,4225;-0,1379;1,1466;1,2297;1,6592
0,1630;-0,0117;1,2303;1,2411;1,7207
-0,0171;-0,0232;1,3021;1,3024;1,7840
0,2633;0,0083;1,0207;1,0541;1,8404
-0,4549;0,1625;-1,0346;1,1418;1,8992
-0,0627;0,0100;0,8264;0,8288;1,9605
-0,0410;0,0107;0,9907;0,9916;2,0212
0,0349;0,0024;0,9560;0,9566;2,0791
-0,0822;-0,0510;-0,1137;0,1493;2,1399
0,5667;0,0146;0,4991;0,7553;2,2004
0,4747;-0,0500;1,3416;1,4240;2,2614
0,4274;0,0085;1,3817;1,4463;2,3194
