0,0020;-0,0156;1,0026;1,0027;0,1365
0,0007;-0,0181;1,0041;1,0042;0,1657
0,0032;-0,0185;1,0012;1,0013;0,1667
0,0034;-0,0159;1,0019;1,0020;0,4170
0,0032;-0,0161;1,0004;1,0006;0,4187
0,0017;-0,0161;1,0036;1,0037;0,4203
0,0027;-0,0176;1,0055;1,0057;0,4218
0,0020;-0,0161;1,0046;1,0047;0,5330
0,0020;-0,0176;1,0038;1,0040;0,5411
0,0007;-0,0164;1,0038;1,0040;0,5990
0,0012;-0,0164;1,0043;1,0045;0,6378
0,0032;-0,0159;1,0021;1,0023;0,6969
0,0012;-0,0161;1,0036;1,0037;0,7561
0,0012;-0,0178;1,0036;1,0038;0,8162
0,0002;-0,0183;1,0043;1,0045;0,8762
0,0022;-0,0176;1,0051;1,0052;0,9370
0,0017;-0,0164;1,0038;1,0040;0,9968
0,0010;-0,0178;1,0060;1,0062;1,0559
0,0027;-0,0161;1,0048;1,0049;1,1165
0,0010;-0,0168;1,0046;1,0047;1,1773
0,0007;-0,0168;1,0031;1,0032;1,2361
0,0020;-0,0164;1,0024;1,0025;1,2979
0,0015;-0,0166;1,0038;1,0040;1,3588
0,0010;-0,0176;1,0053;1,0055;1,4177
0,0022;-0,0166;1,0029;1,0030;1,4782
0,0007;-0,0164;1,0053;1,0054;1,5408
0,0034;-0,0149;1,0043;1,0044;1,5965
0,0005;-0,0178;1,0046;1,0047;1,6586
0,0022;-0,0190;1,0060;1,0062;1,7172
0,0027;-0,0156;1,0016;1,0018;1,7794
0,0015;-0,0183;1,0031;1,0033;1,8381
0,0010;-0,0185;1,0060;1,0062;1,9129
-0,0002;-0,0173;1,0036;1,0037;1,9576
0,0010;-0,0168;1,0031;1,0032;2,0196
0,0012;-0,0181;1,0055;1,0057;2,0831
0,0012;-0,0171;1,0043;1,0045;2,1381
0,0005;-0,0164;1,0034;1,0035;2,1978
0,0007;-0,0137;1,0038;1,0039;2,2577
0,0010;-0,0185;1,0048;1,0050;2,3206
0,0015;-0,0183;1,0063;1,0064;2,3785
0,0002;-0,0161;1,0038;1,0040;2,4396
0,0022;-0,0178;1,0034;1,0035;2,5034
0,0029;-0,0161;1,0021;1,0023;2,5598
0,0034;-0,0161;1,0029;1,0030;2,6197
0,0007;-0,0173;1,0046;1,0047;2,6819
0,0027;-0,0176;1,0051;1,0052;2,7374
0,0017;-0,0173;1,0048;1,0050;2,7976
0,0012;-0,0178;1,0065;1,0067;2,8623
0,0010;-0,0176;1,0031;1,0033;2,9173
0,0020;-0,0173;1,0021;1,0023;2,9775
0,0015;-0,0181;1,0065;1,0067;3,0430
0,0027;-0,0168;1,0046;1,0047;3,0973
0,0015;-0,0193;1,0070;1,0072;3,1572
0,0010;-0,0151;1,0048;1,0049;3,2176
0,0020;-0,0178;1,0031;1,0033;3,2821
0,0029;-0,0190;1,0068;1,0070;3,3390
0,0022;-0,0159;1,0046;1,0047;3,3979
0,0017;-0,0185;1,0055;1,0057;3,4579
0,0017;-0,0183;1,0073;1,0074;3,5195
0,0010;-0,0183;1,0043;1,0045;3,5781
0,0020;-0,0171;1,0031;1,0033;3,6374
0,0007;-0,0176;1,0068;1,0069;3,6980
0,0017;-0,0185;1,0041;1,0043;3,7608
0,0007;-0,0193;1,0048;1,0050;3,8176
0,0017;-0,0181;1,0051;1,0052;3,8777
0,0015;-0,0198;1,0048;1,0050;3,9423
0,0032;-0,0159;1,0043;1,0045;3,9974
0,0002;-0,0171;1,0053;1,0054;4,0578
0,0012;-0,0176;1,0043;1,0045;4,1178
0,0015;-0,0193;1,0058;1,0060;4,1800
0,0022;-0,0173;1,0036;1,0037;4,2369
0,0007;-0,0178;1,0048;1,0050;4,2974
0,0022;-0,0188;1,0031;1,0033;4,3621
