0,1313;-0,0588;1,0038;1,0141;0,1139
0,1377;-0,0342;1,0021;1,0121;0,1356
0,1538;-0,0405;0,9794;0,9923;0,3776
0,1154;-0,0576;0,9467;0,9555;0,3798
0,1660;-0,0549;1,0290;1,0437;0,3816
0,1618;-0,0593;0,9899;1,0048;0,3837
0,1677;-0,0527;0,9846;1,0001;0,4299
0,1494;-0,0598;0,9914;1,0044;0,4586
0,1579;-0,0610;0,9907;1,0050;0,5180
0,1721;-0,0547;0,9807;0,9971;0,5784
0,1691;-0,0583;0,9902;1,0062;0,6385
0,1748;-0,0561;0,9870;1,0039;0,7002
0,1745;-0,0537;0,9948;1,0114;0,7587
0,1750;-0,0552;0,9907;1,0075;0,8197
0,1730;-0,0535;0,9994;1,0157;0,8787
0,5099;-0,1540;1,2196;1,3308;0,9388
0,0703;-0,0884;1,3799;1,3846;0,9997
0,3156;-0,0769;0,9135;0,9696;1,0587
0,1530;-0,0940;0,8835;0,9016;1,1196
0,1623;-0,0383;0,9148;0,9298;1,1797
0,1147;-0,0520;0,9763;0,9843;1,2392
0,1423;-0,0571;0,9946;1,0063;1,3076
0,2314;-0,0342;0,9472;0,9757;1,3601
-0,1384;-0,0552;0,7053;0,7209;1,4203
0,1830;-0,0671;0,6133;0,6436;1,4840
0,6099;0,0879;1,9816;2,0752;1,5408
0,3798;0,0203;1,1378;1,1997;1,6005
0,2385;-0,0056;0,9714;1,0002;1,6612
0,1462;-0,0242;0,9907;1,0017;1,7200
0,1701;-0,0139;1,1181;1,1310;1,8184
0,1486;0,0002;1,2611;1,2698;1,8454
0,2492;-0,0320;1,1591;1,1860;1,9032
0,5347;-0,0408;0,9306;1,0741;1,9618
0,0737;-0,0161;0,9167;0,9198;2,0205
0,1108;-0,0366;1,0383;1,0448;2,0804
0,1640;-0,0259;0,9870;1,0009;2,1435
0,2458;0,0046;0,8847;0,9182;2,2007
0,2057;-0,0425;0,9902;1,0122;2,2654
0,2333;-0,0229;0,5975;0,6418;2,3265
0,2455;0,0525;0,3700;0,4471;2,3797
0,2245;-0,0412;1,1266;1,1495;2,4404
0,3285;-0,0635;1,0317;1,0846;2,5100
0,2226;-0,0166;0,9853;1,0103;2,5610
0,1567;-0,0264;1,0043;1,0168;2,6204
0,2087;-0,0268;1,1349;1,1542;2,6817
0,2321;-0,0083;1,2848;1,3056;2,7400
0,1655;0,0766;1,1212;1,1360;2,8054
0,2260;0,0083;1,0902;1,1134;2,8602
0,1728;-0,0647;0,6065;0,6339;2,9202
0,0603;0,0059;0,9614;0,9633;2,9800
0,1272;-0,0095;1,0400;1,0477;3,0400
0,1950;-0,0007;0,9623;0,9819;3,1006
0,1899;-0,0173;0,9540;0,9729;3,1643
0,2597;-0,0332;0,8249;0,8655;3,2203
0,2594;-0,0469;0,8503;0,8903;3,2833
0,1865;-0,0627;1,3568;1,3709;3,3398
0,2187;-0,0510;1,1786;1,1998;3,4004
0,3290;-0,0788;1,0475;1,1008;3,4607
0,2331;0,0039;0,9907;1,0177;3,5197
0,1474;-0,0535;0,9789;0,9914;3,5801
0,2053;-0,0422;1,0268;1,0479;3,6447
0,1767;-0,0517;1,1605;1,1750;3,7062
0,3773;-0,0471;1,2564;1,3127;3,7596
0,3305;-0,0571;1,0302;1,0834;3,8202
0,2543;-0,0813;0,5167;0,5816;3,8814
0,1242;0,0083;0,7832;0,7930;3,9396
0,1677;0,0017;0,9926;1,0067;4,0000
0,2333;0,0022;0,9958;1,0228;4,0619
0,2250;-0,0056;0,9570;0,9831;4,1190
0,2817;-0,0469;0,8284;0,8762;4,1807
0,0871;-0,0610;0,8562;0,8628;4,2451
-0,0676;-0,0369;1,7517;1,7533;4,3017
-0,0041;-0,0383;1,0844;1,0851;4,3609
0,2726;-0,0378;1,0375;1,0734;4,4216
0,2270;-0,0124;0,9929;1,0185;4,4833
0,1316;-0,0681;0,9907;1,0017;4,5401
0,1538;-0,0444;0,9914;1,0042;4,5998
0,2099;-0,0276;1,0566;1,0776;4,6598
-0,1489;-0,0696;1,0363;1,0492;4,7199
0,3075;-0,0249;1,0380;1,0829;4,7799
0,1228;-0,0693;0,9767;0,9869;4,8401
-0,5533;0,0410;0,0930;0,5626;4,9001
